var_name,precip_depth_sum_mm,ref_date
PRD000100H20,0,
PRD000100H19,0,
PRD000100H18,0,
PRD000100H17,0,
PRD000100H16,0,
PRD000100H15,0,
PRD000100H14,0,
PRD000100H13,0,
PRD000100H12,0,
PRD000100H11,0,
PRD000100H10,0,
PRD000100H09,0,
PRD000100H08,0,
PRD000100H07,0,
PRD000100H06,0,
PRD000100H05,0,
PRD000100H04,0,
PRD000100H03,0,
PRD000100H02,0,
PRD000100H01,0,
PRD000100H00,0,
PRD000101H23,0,
PRD000101H22,0,
PRD000101H21,0,
PRD000101H20,0,
PRD000101H19,0,
PRD000101H18,0,
PRD000101H17,0,
PRD000101H16,0,
PRD000101H15,0,
PRD000101H14,0,
PRD000101H13,0,
PRD000101H12,0,
PRD000101H11,0,
PRD000101H10,0,
